Month,Day,Time,CloudAmount,NightLength
1,15,6:00,0,62330
1,15,7:00,0,62330
1,15,8:00,0,62330
1,15,9:00,0,62330
1,15,10:00,0,62330
1,15,11:00,0,62330
1,15,12:00,0,62330
1,15,13:00,0,62330
1,15,14:00,0,62330
1,15,15:00,0,62330
1,15,16:00,7,62330
1,15,17:00,0,62330
1,15,18:00,7,62330
1,15,19:00,7,62330
1,15,20:00,7,62330
1,15,21:00,3,62330
1,15,22:00,1,62330
1,15,23:00,1,62330
1,16,0:00,5,62097
1,16,1:00,0,62097
1,16,2:00,0,62097
1,16,3:00,0,62097
1,16,4:00,0,62097
1,16,5:00,0,62097
1,16,6:00,0,62097
1,16,7:00,0,62097
1,16,8:00,3,62097
1,16,9:00,8,62097
1,16,10:00,8,62097
1,16,11:00,8,62097
1,16,12:00,8,62097
1,16,13:00,8,62097
1,16,14:00,8,62097
1,16,15:00,8,62097
1,16,16:00,8,62097
1,16,17:00,8,62097
1,16,18:00,3,62097
1,16,19:00,7,62097
1,16,20:00,5,62097
1,16,21:00,1,62097
1,16,22:00,7,62097
1,16,23:00,7,62097
1,17,0:00,7,61858
1,17,1:00,7,61858
1,17,2:00,7,61858
1,17,3:00,8,61858
1,17,4:00,8,61858
1,17,5:00,8,61858
1,17,6:00,7,61858
1,17,7:00,8,61858
1,17,8:00,7,61858
1,17,9:00,3,61858
1,17,10:00,0,61858
1,17,11:00,0,61858
1,17,12:00,0,61858
1,17,13:00,0,61858
1,17,14:00,0,61858
1,17,15:00,0,61858
1,17,16:00,0,61858
1,17,17:00,0,61858
1,17,18:00,0,61858
1,17,19:00,0,61858
1,17,20:00,0,61858
1,17,21:00,0,61858
1,17,22:00,0,61858
1,17,23:00,0,61858
1,18,0:00,0,61613
1,18,1:00,0,61613
1,18,2:00,0,61613
1,18,3:00,0,61613
1,18,4:00,0,61613
1,18,5:00,0,61613
1,18,6:00,0,61613
1,18,7:00,0,61613
1,18,8:00,0,61613
1,18,9:00,0,61613
1,18,10:00,1,61613
1,18,11:00,0,61613
1,18,12:00,1,61613
1,18,13:00,7,61613
1,18,14:00,5,61613
1,18,15:00,7,61613
1,18,16:00,7,61613
1,18,17:00,7,61613
1,18,18:00,5,61613
1,18,19:00,7,61613
1,18,20:00,7,61613
1,18,21:00,7,61613
1,18,22:00,7,61613
1,18,23:00,1,61613
1,19,0:00,0,61362
1,19,1:00,0,61362
1,19,2:00,0,61362
1,19,3:00,0,61362
1,19,4:00,0,61362
1,19,5:00,1,61362
1,19,6:00,7,61362
1,19,7:00,7,61362
1,19,8:00,7,61362
1,19,9:00,7,61362
1,19,10:00,7,61362
1,19,11:00,7,61362
1,19,12:00,7,61362
1,19,13:00,7,61362
1,19,14:00,7,61362
1,19,15:00,8,61362
1,19,16:00,8,61362
1,19,17:00,8,61362
1,19,18:00,8,61362
1,19,19:00,8,61362
1,19,20:00,8,61362
1,19,21:00,8,61362
1,19,22:00,8,61362
1,19,23:00,8,61362
1,20,0:00,8,61107
1,20,1:00,8,61107
1,20,2:00,8,61107
1,20,3:00,8,61107
1,20,4:00,8,61107
1,20,5:00,8,61107
1,20,6:00,8,61107
1,20,7:00,8,61107
1,20,8:00,7,61107
1,20,9:00,8,61107
1,20,10:00,7,61107
